"nautical"|"port_destination"|"port_origin"|"code_origin"|"code_destination"|"lat_origin"|"long_origin"|"lat_dest"|"long_dest"|"name_origin"|"name_dest"
110|ea569719-3919-41cc-a2ac-c2e3cb234930|fffec38d-bd22-4058-bb40-00993fa56f62|"950"|"958"|-7.98306|"131.292"|-7.86917|"129.592"|Saumlaki|Tepa
115|"5e427eb6-c2bc-4257-bf39-aee0eadc1156"|ea569719-3919-41cc-a2ac-c2e3cb234930|"958"|"959"|-7.86917|"129.592"|-8.10558|"127.817"|Tepa|Moa
42|"2dfddcde-0aba-441f-8663-18dfb2297e83"|"5e427eb6-c2bc-4257-bf39-aee0eadc1156"|"959"|"956"|-8.10558|"127.817"|None|None|Moa|Kisar
194|"30eaba7f-6681-477a-a1d3-ee1ba1621519"|b2811ee3-48f4-41a3-b82a-bcd88ef3233c|"946"|"955"|-3.6942|"128.177"|-3.878|"130.9"|Ambon|Geser
105|"2a26ded5-07a9-4d74-bab3-343483d0f22b"|b2811ee3-48f4-41a3-b82a-bcd88ef3233c|"946"|"929"|-3.6942|"128.177"|None|None|Ambon|Namrole
82|b2811ee3-48f4-41a3-b82a-bcd88ef3233c|"9c1e061d-9b9f-404d-a4cc-c98db3337a64"|"951"|"946"|-3.27|"127.09"|-3.6942|"128.177"|Namlea|Ambon
323|"72346087-6a6a-462b-a434-913d6f2e5ca9"|b2811ee3-48f4-41a3-b82a-bcd88ef3233c|"946"|"942"|-3.6942|"128.177"|"0.78055"|"127.389"|Ambon|Ternate
231|"7d09ed71-36f8-40bf-996a-5a09bae5dc3d"|"3d5dc79e-61ff-4837-a180-d4f58ec35320"|"908"|"835"|-1.58885|"123.495"|"1.4436483"|"125.20453"|Banggai|Bitung
150|"7fce1b97-29ae-42e7-ac8f-4523753e527b"|"80a4b48e-2bbb-42f8-b0f5-aed166f81eb3"|"655"|"685"|-8.444626|"118.71112"|-9.63848|"120.251"|Bima|Waingapu
108|"85c90424-c458-4045-8719-459d9074f3cf"|"9b6f2f2e-69aa-47e7-b1b4-0426b88406d2"|"687"|"694"|-8.341486|"122.987854"|-8.22369|"124.515"|Larantuka|Kalabahi
210|"80a4b48e-2bbb-42f8-b0f5-aed166f81eb3"|"6a01e7c5-05e6-4ab7-a706-f0936f32a837"|"893"|"655"|"5.0725"|"119.222"|-8.444626|"118.71112"|Makassar|Bima
250|c2f757c2-442b-4fce-9a53-4292baf0f776|fa422e2a-605a-4ca7-954b-8e2b08db4bff|"892"|"803"|"119.621796"|-4.00225|-1.26835|"116.809"|Pare-Pare|Semayang
85|"4a1be77c-4d5b-4c03-9186-c49c9049424d"|"4a1be77c-4d5b-4c03-9186-c49c9049424d"|"925"|"925"|None|None|None|None|Babang|Babang
153|"4a1be77c-4d5b-4c03-9186-c49c9049424d"|"4a1be77c-4d5b-4c03-9186-c49c9049424d"|"925"|"925"|None|None|None|None|Babang|Babang
45|af181acc-3b91-46f0-8f76-006dcd4b2d9f|"6ab1ca09-de32-4015-a5aa-07a51eb8c246"|"256"|"266"|"1.08207"|"103.936"|"0.5929"|"103.26223"|Batam/Batu Ampar|Tanjung Balai Karimun
