epoch,loss,val_loss
0,0.029874147847294807,0.01993628405034542
1,0.018532047048211098,0.01084708608686924
2,0.010481927543878555,0.0078392643481493
3,0.0087971156463027,0.007973511703312397
4,0.008286917582154274,0.007373010739684105
5,0.00798911601305008,0.007219548802822828
6,0.007926820777356625,0.007209018804132938
7,0.007790072821080685,0.0070789712481200695
8,0.007617725990712643,0.007512944284826517
9,0.007607348263263702,0.007006227038800716
10,0.007538412697613239,0.00703182490542531
11,0.0073436107486486435,0.006722413469105959
12,0.007337143179029226,0.0068952301517128944
13,0.007252867333590984,0.006569565739482641
14,0.007351722568273544,0.006820788141340017
15,0.007088934071362019,0.006668069399893284
16,0.0070681157521903515,0.006425100844353437
17,0.0070030577480793,0.006687740329653025
18,0.007097958587110043,0.006304346024990082
19,0.00692135700955987,0.0064644287340343
20,0.006947735790163279,0.006269576493650675
21,0.006868544965982437,0.006467574276030064
22,0.006947095971554518,0.006505568046122789
23,0.006865591276437044,0.006402482744306326
24,0.006856810767203569,0.0069197905249893665
25,0.006812010891735554,0.006365624722093344
26,0.006769861094653606,0.006459084339439869
27,0.006800995673984289,0.006286534480750561
28,0.006701978854835033,0.006299889180809259
29,0.006683418992906809,0.006326649803668261
